RetroSheet ID,Name
alexa001,A. J. Alexy
ladwa001,A. J. Ladwig
minta001,A. J. Minter
puk-a001,A. J. Puk
mondr003,Adalberto Mondesi
garca005,Adolis Garcia
marta006,Adrian Martinez
morea001,Adrian Morejon
diaza003,Aledmys Diaz
coloa001,Alex Colome
diaza004,Alexis Diaz
gimea001,Andres Gimenez
munoa002,Andres Munoz
ibana001,Andy Ibanez
ronda001,Angel Rondon
sanca004,Anibal Sanchez
vizca001,Arodys Vizcaino
garca003,Avisail Garcia
okeeb001,Brian O`Keefe
cronc002,C. J. Cron
mitcc002,Cal Mitchell
edwac001,Carl Edwards
estec001,Carlos Estevez
hernc006,Carlos Hernandez
perec005,Carlos Perez
rodoc001,Carlos Rodon
hernc005,Cesar Hernandez
valdc003,Cesar Valdez
gonzc002,Chi Chi Gonzalez
vazqc001,Christian Vazquez
perec004,Cionel Perez
sancc002,Cristopher Sanchez
jimed002,Dany Jimenez
odayd001,Darren O`Day
rodrd001,Dereck Rodriguez
nuned001,Dom Nunez
germd001,Domingo German
unded001,Duane Underwood
diaze006,Edwin Diaz
diaze005,Elias Diaz
jimee001,Eloy Jimenez
pagae001,Emilio Pagan
herne001,Enrique Hernandez
ramie004,Erasmo Ramirez
gonze004,Erik Gonzalez
suare001,Eugenio Suarez
bautf001,Felix Bautista
alvaf001,Francisco Alvarez
mejif001,Francisco Mejia
cabrg001,Genesis Cabrera
marqg001,German Marquez
ramih004,Harold Ramirez
nerih001,Hector Neris
herri001,Ivan Herrera
wendj001,J. B. Wendelken
mejij002,J. C. Mejia
davij006,J. D. Davis
martj006,J. D. Martinez
matij001,J. J. Matijevic
crawj002,J. P. Crawford
feyej001,J. P. Feyereisen
charj001,J. T. Chargois
realj001,J. T. Realmuto
bradj001,Jackie Bradley
garcj006,Jarlin Garcia
baezj001,Javier Baez
chisj001,Jazz Chisholm
penaj004,Jeremy Pena
aguij001,Jesus Aguilar
luzaj001,Jesus Luzardo
sancj003,Jesus Sanchez
chacj001,Jhoulys Chacin
jimej003,Joe Jimenez
rodrj004,Joely Rodriguez
arauj001,Jonathan Arauz
hernj004,Jonathan Hernandez
loaij001,Jonathan Loaisiga
lopej004,Jorge Lopez
abrej003,Jose Abreu
alvaj004,Jose Alvarado
azocj001,Jose Azocar
berrj001,Jose Berrios
buttj001,Jose Butto
castj007,Jose Castillo
cisnj001,Jose Cisnero
godoj001,Jose Godoy
iglej001,Jose Iglesias
leclj001,Jose Leclerc
quijj001,Jose Quijada
quinj001,Jose Quintana
ramij003,Jose Ramirez
ruizj001,Jose Ruiz
suarj001,Jose Suarez
urenj001,Jose Urena
urquj001,Jose Urquidy
rodrj007,Julio Rodriguez
uriaj001,Julio Urias
fernj006,Junior Fernandez
tom-k001,Ka`ai Tom
hayek001,Ke`Bryan Hayes
gutik001,Kelvin Gutierrez
wadel001,LaMonte Wade
mccul002,Lance McCullers
diazl001,Lewin Diaz
ohopl001,Logan O`Hoppe
gurrl001,Lourdes Gurriel
frial001,Luis Frias
gonzl005,Luis Gonzalez
patil001,Luis Patino
urial001,Luis Urias
pinam001,Manny Pina
rodrm001,Manuel Rodriguez
diplm001,Marcos Diplan
leitm002,Mark Leiter
maldm001,Martin Maldonado
perem004,Martin Perez
boydm001,Matt Boyd
dubom001,Mauricio Dubon
taylm002,Michael Taylor
baezm001,Michel Baez
andum001,Miguel Andujar
sancm001,Miguel Sanchez
sanom001,Miguel Sano
sianm001,Mike Siani
velan001,Nelson Velazquez
ramin002,Noe Ramirez
ruizn001,Norge Ruiz
herro001,Odubel Herrera
pereo002,Oliver Perez
narvo001,Omar Narvaez
higgp001,P. J. Higgins
lopep002,Pablo Lopez
baezp001,Pedro Baez
alvar001,R. J. Alvarez
laurr001,Ramon Laureano
uriar001,Ramon Urias
suarr001,Ranger Suarez
pintr003,Rene Pinto
loper003,Reynaldo Lopez
obrir001,Riley O`Brien
canor001,Robinson Cano
eliar001,Roenis Elias
acunr001,Ronald Acuna
bolar001,Ronald Bolanos
guzmr001,Ronald Guzman
garcr007,Rony Garcia
ohear001,Ryan O`Hearn
domis001,Seranthony Dominguez
alcas002,Sergio Alcantara
muzzs001,Simon Muzziotti
souzs001,Steven Souza
mcfat001,T. J. McFarland
zeuct001,T. J. Zeuch
hernt002,Teoscar Hernandez
nidot001,Tomas Nido
lakit001,Travis Lakins
darnt001,Travis d`Arnaud
oneit001,Tyler O`Neill
aranv001,Victor Arano
brujv001,Vidal Brujan
machv001,Vimael Machin
guerv002,Vladimir Guerrero
gutiv001,Vladimir Gutierrez
herny002,Yadiel Hernandez
diazy001,Yandy Diaz
mercy001,Yermin Mercedes
lopey001,Yoan Lopez
moncy001,Yoan Moncada
